id	name	total_bases	number	address	longitude	latitude	
1	Puerta del Sol A	24	1a	Puerta del Sol 1	-3.7024255	40.4168961	
2	Puerta del Sol B	24	1b	Puerta del Sol 1	-3.7024207	40.4170009	
3	Miguel Moya	24	2	Calle Miguel Moya 1	-3.7058415	40.4205886	
4	Plaza Conde Suchil	18	3	Plaza del Conde Suchil 2-4	-3.7069171	40.4302937	
5	Malasaña	24	4	Calle Manuela Malasaña 5	-3.7025875	40.4285524	
6	Fuencarral	27	5	Calle Fuencarral 108	-3.7020599	40.4285280	
7	Colegio Arquitectos	24	6	Calle Hortaleza 63	-3.6984470	40.4241480	
8	Hortaleza	21	7	Calle Hortaleza 75	-3.6977715	40.4251906	
9	Alonso Martínez	24	8	Plaza de Alonso Martínez 5	-3.6954403	40.4278682	
10	Plaza de San Miguel	24	9	Plaza de San Miguel 9	-3.7095084	40.4156057	
11	Marqués de la Ensenada	24	10	Calle Marqués de la Ensenada 16	-3.6918807	40.4250863	
12	San Andrés	24	11	Calle San Andrés 18	-3.7035918	40.4269483	
13	San Hermenegildo	24	12	Calle San Bernardo 85	-3.7061931	40.4284246	
14	Conde Duque	24	13	Calle Conde Duque 22	-3.7104417	40.4273264	
15	Ventura Rodríguez	24	14	Calle Ventura Rodríguez 2	-3.7134790	40.4260957	
16	San Vicente Ferrer	21	15	Calle San Vicente Ferrer 64	-3.7073764	40.4261649	
17	San Bernardo	21	16	Calle San Bernardo 22	-3.7075065	40.4230721	
18	Carlos Cambronero	24	17	Plaza de Carlos Cambronero 2	-3.7038312	40.4232649	
19	Plaza de Pedro Zerolo	24	18	Plaza de Pedro Zerolo	-3.6996502	40.4207773	
20	Prim	24	19	Calle Prim 2	-3.6954983	40.4218616	
21	Banco de España A	24	20a	Calle Alcalá 49	-3.6954615	40.4192342	
23	Red de San Luis A	24	21a	Calle Montera 48	-3.7014814	40.4197872	
24	Red de San Luis B	24	21b	Calle Montera 47	-3.7015235	40.4197204	
25	Jacometrezo	24	22	Calle Jacometrezo 3	-3.7065376	40.4200783	
26	Santo Domingo	24	23	Plaza de Santo Domingo 1	-3.7080733	40.4197429	
27	Palacio de Oriente	24	24	Calle Carlos III 1	-3.7103538	40.4182146	
28	Plaza de Celenque A	24	25a	Plaza de Celenque 1	-3.7064809	40.4173114	
29	Plaza de Celenque B	24	25b	Plaza de Celenque 1	-3.7063837	40.4172781	
30	Plaza de las Salesas	24	26	Plaza de las Salesas 7	-3.6944750	40.4238550	
31	Huertas	24	27	Calle Jesús 1	-3.6956178	40.4132798	
32	Sevilla	24	28	Calle Alcalá 27	-3.6992600	40.4181663	
33	Marqués de Cubas	24	29	Calle del Marqués de Cubas 25	-3.6957355	40.4162619	
34	San Quintín	27	30	Calle Pavía 6	-3.7115040	40.4192095	
35	Calle Mayor	27	31	Calle Mayor 20	-3.7068969	40.4163638	
36	Plaza de la Provincia	18	32	Plaza de la Provincia 1	-3.7061032	40.4150099	
37	Carretas	24	33	Calle Carretas 8	-3.7031808	40.4157138	
38	Jacinto Benavente	24	34	Plaza de Jacinto Benavente	-3.7036825	40.4146755	
39	Plaza del Cordón	24	35	Plaza del Cordón 1	-3.7103285	40.4141931	
40	Plaza de Ramales	24	36	Plaza de Ramales 1	-3.7124038	40.4167281	
41	Plaza San Francisco	24	37	Plaza de San Francisco 5	-3.7144964	40.4108442	
42	Plaza de los Carros	24	38	Carrera de San Francisco 1	-3.7120734	40.4110406	
43	Plaza de la Cebada	27	39	Plaza de la Cebada 16 	-3.7088337	40.4112744	
44	Conde de Romanones	24	40	Plaza del Conde de Romanones 9	-3.7049407	40.4138846	
45	Antón Martín	21	41	Calle Atocha 54	-3.6991147	40.4122047	
46	Santa Isabel	24	42	Calle Atocha 32	-3.6982318	40.4107085	
47	Jesús y María	24	43	Calle Lavapiés 34-36	-3.7025024	40.4101564	
48	Plaza de Nelson Mandela	21	44	Calle Mesón de Paredes 35	-3.7040666	40.4097617	
49	Puerta de Toledo	21	45	Glorieta de la Puerta de Toledo 1	-3.7110513	40.4070358	
50	Ribera de Curtidores	24	46	Calle Ribera de Curtidores 28	-3.7071259	40.4053153	
51	Embajadores 1	24	47	Glorieta de Embajadores 6	-3.7028265	40.4047851	
52	Embajadores 2	24	48	Glorieta de Embajadores 2	-3.7022591	40.4056107	
53	Casa Encendida	24	49	Ronda de Atocha 34	-3.6992759	40.4060941	
54	Museo Reina Sofía	24	50	Calle Santa Isabel 57	-3.6933463	40.4083684	
55	Ronda de Atocha	27	51	Ronda de Atocha 2	-3.6935205	40.4075606	
56	Plaza de Santa Ana	24	52	Plaza de Santa Ana 10	-3.7007164	40.4144226	
57	Plaza de Lavapiés	24	53	Calle Valencia 1	-3.7008803	40.4089282	
